SOURCE: Data,SOURCE: Related article,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),Trichodesmium Biomass Conversion factor (mg C/106 trichomes),Trichodesmium Biomass (mg C m-2),UCYN Cells (x106 m-2),UCYN Biomass Conversion factor (mg C/106 cells),UCYN Biomass (mg C m-2),Richelia Associated Species,Richelia Cells (x106 m-2),Richelia Biomass Conversion factor (mg C/106 cells),Calothrix Associated Species,Calothrix Cells  (x106 m-2),Calothrix Biomass Conversion factor (mg C/106 cells),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-2),Total Diazotrophic Biomass (mg C m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-04,22.75,-158.00,165,25.100,0.9910,6.0110,30,180.330,,,,"Hemiaulus, Rhizosolenia",8.3000,0.0100,,,,0.083 ,180.413,26.62,35.17,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-07,18.51,-156.99,165,74.898,0.5726,15.5521,30,466.563,,,,"Hemiaulus, Rhizosolenia",1.2706,0.0100,,,,0.013 ,466.576,27.01,34.74,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-08,18.52,-156.98,165,18.894,0.7825,4.5614,30,136.841,,,,"Hemiaulus, Rhizosolenia",0.5648,0.0100,,,,0.006 ,136.847,27.05,34.76,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-09,18.94,-154.80,110,0.000,0.0030,0.0030,30,0.090,,,,"Hemiaulus, Rhizosolenia",0.0650,0.0100,,,,0.001 ,0.091,26.26,34.65,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-10,19.50,-157.00,110,62.210,0.3913,12.8332,30,384.997,,,,"Hemiaulus, Rhizosolenia",2.1500,0.0100,,,,0.022 ,385.018,26.67,34.86,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-11,19.50,-157.00,110,13.000,0.3310,2.9310,30,87.930,,,,"Hemiaulus, Rhizosolenia",2.2500,0.0100,,,,0.023 ,87.953,26.60,34.90,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-12,19.50,-159.00,110,47.661,1.5783,11.1104,30,333.313,,,,"Hemiaulus, Rhizosolenia",157.4033,0.0100,,,,1.574 ,334.887,27.45,34.98,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-13,19.50,-159.00,110,9.500,0.9930,2.8930,30,86.790,,,,"Hemiaulus, Rhizosolenia",62.0000,0.0100,,,,0.620 ,87.410,27.35,34.99,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-14,20.50,-161.00,110,28.660,0.9324,6.6643,30,199.930,,,,"Hemiaulus, Rhizosolenia",63.0332,0.0100,,,,0.630 ,200.561,27.50,34.93,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-15,21.00,-159.00,165,27.818,1.2766,6.8402,30,205.206,,,,"Hemiaulus, Rhizosolenia",13.9705,0.0100,,,,0.140 ,205.346,27.31,34.85,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-16,21.00,-159.00,110,14.803,1.2822,4.2427,30,127.282,,,,"Hemiaulus, Rhizosolenia",7.2825,0.0100,,,,0.073 ,127.355,26.87,34.91,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-17,20.24,-156.50,110,19.000,0.4658,4.2658,30,127.975,,,,"Hemiaulus, Rhizosolenia",10.4048,0.0100,,,,0.104 ,128.079,27.17,34.82,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-18,20.23,-158.92,165,22.500,2.1660,6.6660,30,199.980,,,,"Hemiaulus, Rhizosolenia",0.6306,0.0100,,,,0.006 ,199.986,27.72,35.04,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-19,19.12,-162.22,165,18.000,2.2211,5.8211,30,174.634,,,,"Hemiaulus, Rhizosolenia",24.9081,0.0100,,,,0.249 ,174.883,27.26,34.93,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
"Capone, D.J., University of South California, capone@usc.edu; Subramaniam, A., Lamont Doherty Earth Observatory, ajit@ldeo.columbia.edu; Carpenter, E.J., San Francisco State University, ecarpent@sfsu.edu","Sohm et al. (2011), doi:10.1029/2010JG001513",Epifluorescence Microscopy ,2003-08-21,20.50,-161.50,110,4.800,0.7950,1.7550,30,52.650,,,,"Hemiaulus, Rhizosolenia",88.0220,0.0100,,,,0.880 ,53.530,27.47,34.97,,,,,"Direct depth-integrate measurements. Trichodesmium colonies reported as number of trichomes and converted to number of colonies assuming 200 trichomes/colony. Free trichomes include Katagnymene (recently renamed Trichodesmium spiralis). Richelia reported as number of heterocysts, converted to number of cells on 1:5 basis."
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1993-11-15,25.20,123.00,70,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-03-15,25.20,123.00,70,,,0.0632,30,1.895,,,,,,,,,,,1.895,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-05-05,25.20,123.00,70,,,1.2886,30,38.658,,,,,,,,,,,38.658,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-03-28,25.20,123.00,70,,,1.1236,30,33.707,,,,,,,,,,,33.707,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-05-02,25.20,123.00,70,,,10.7830,30,323.489,,,,,,,,,,,323.489,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-09-02,25.20,123.00,70,,,0.6064,30,18.191,,,,,,,,,,,18.191,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,25.20,123.00,70,,,0.0890,30,2.670,,,,,,,,,,,2.670,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1996-01-04,25.20,123.00,70,,,0.0190,30,0.571,,,,,,,,,,,0.571,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1996-04-26,25.20,123.00,70,,,0.2245,30,6.735,,,,,,,,,,,6.735,,,,,,,"year/month acurate, day estimated. Location estimated for ""Kuroshio zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1993-11-15,25.50,122.00,70,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-05-05,25.50,122.00,70,,,0.0692,30,2.075,,,,,,,,,,,2.075,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-07-05,25.50,122.00,70,,,13.6207,30,408.621,,,,,,,,,,,408.621,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-03-28,25.50,122.00,70,,,0.0567,30,1.700,,,,,,,,,,,1.700,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-04-17,25.50,122.00,70,,,3.7276,30,111.828,,,,,,,,,,,111.828,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-05-02,25.50,122.00,70,,,0.5609,30,16.828,,,,,,,,,,,16.828,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-09-02,25.50,122.00,70,,,0.3957,30,11.872,,,,,,,,,,,11.872,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,25.50,122.00,70,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1996-01-04,25.50,122.00,70,,,0.0010,30,0.030,,,,,,,,,,,0.030,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1996-04-26,25.50,122.00,70,,,0.0209,30,0.627,,,,,,,,,,,0.627,,,,,,,"year/month acurate, day estimated. Location estimated for upwelling zone"""
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1993-11-15,26.15,120.85,70,,,1.6000,30,48.000,,,,,,,,,,,48.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1993-11-15,25.80,121.50,70,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1993-11-15,25.33,122.53,70,,,0.1000,30,3.000,,,,,,,,,,,3.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1993-11-15,25.10,123.40,70,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-03-15,26.30,120.50,50,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-03-15,25.70,121.70,70,,,0.4000,30,12.000,,,,,,,,,,,12.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-03-15,25.49,122.19,70,,,0.1000,30,3.000,,,,,,,,,,,3.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-03-15,25.00,123.20,70,,,1.4000,30,42.000,,,,,,,,,,,42.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-07-05,25.90,121.30,50,,,8.3000,30,249.000,,,,,,,,,,,249.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-07-05,25.80,121.50,70,,,7.4000,30,222.000,,,,,,,,,,,222.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-07-05,25.70,121.70,70,,,10.5000,30,315.000,,,,,,,,,,,315.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-07-05,25.65,121.85,70,,,9.5000,30,285.000,,,,,,,,,,,285.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-07-05,25.57,122.02,70,,,5.9000,30,177.000,,,,,,,,,,,177.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-07-05,25.49,122.19,70,,,12.4000,30,372.000,,,,,,,,,,,372.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-07-05,25.41,122.36,70,,,5.7000,30,171.000,,,,,,,,,,,171.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1994-07-05,25.33,122.53,70,,,10.2000,30,306.000,,,,,,,,,,,306.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-03-28,26.40,120.30,50,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-03-28,26.15,120.85,50,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-03-28,25.49,122.19,70,,,0.1000,30,3.000,,,,,,,,,,,3.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-03-28,25.00,123.20,70,,,1.1000,30,33.000,,,,,,,,,,,33.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-04-17,26.00,121.20,50,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-04-17,25.80,121.50,70,,,1.5000,30,45.000,,,,,,,,,,,45.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-04-17,25.49,122.19,70,,,3.8000,30,114.000,,,,,,,,,,,114.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-04-17,25.41,122.36,70,,,4.8000,30,144.000,,,,,,,,,,,144.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,26.30,120.50,70,,,2.7000,30,81.000,,,,,,,,,,,81.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,26.15,120.85,70,,,3.2000,30,96.000,,,,,,,,,,,96.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,26.00,121.20,70,,,1.0000,30,30.000,,,,,,,,,,,30.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,25.80,121.50,70,,,0.1000,30,3.000,,,,,,,,,,,3.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,25.65,121.85,70,,,0.4000,30,12.000,,,,,,,,,,,12.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,25.57,122.02,70,,,0.2000,30,6.000,,,,,,,,,,,6.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,25.49,122.19,70,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,25.41,122.36,70,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,25.33,122.53,70,,,0.1000,30,3.000,,,,,,,,,,,3.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,25.17,122.87,70,,,0.3000,30,9.000,,,,,,,,,,,9.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1995-10-01,25.00,123.20,70,,,0.2000,30,6.000,,,,,,,,,,,6.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1996-04-26,26.05,121.00,50,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1996-04-26,25.90,121.30,50,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1996-04-26,25.70,121.70,70,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1996-04-26,25.57,122.02,70,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1996-04-26,25.41,122.36,70,,,0.0000,30,0.000,,,,,,,,,,,0.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1996-04-26,25.25,122.70,70,,,0.9000,30,27.000,,,,,,,,,,,27.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
,"Chang et al. (2000), doi:10.1016/S0278-4343(99)00082-5",Standard Light Microscopy,1996-04-26,25.09,123.04,70,,,0.2000,30,6.000,,,,,,,,,,,6.000,,,,,,,"year/month acurate, day estimated. Location estimated from map"
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2003), doi:10.3354/meps259047, 2003",Epifluorescence Microscopy ,2000-07-04,18.00,115.50,60,,,0.6320,30,18.960,,,,,,,,,,,18.960,,,0.012,0.009,,,Direct depth-integrate measurements
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2003), doi:10.3354/meps259047, 2003",Epifluorescence Microscopy ,2000-07-08,22.50,119.67,60,,,5.8750,30,176.250,,,,,,,,,,,176.250,,,0.035,0.011,,,Direct depth-integrate measurements
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2003), doi:10.3354/meps259047, 2003",Epifluorescence Microscopy ,2000-07-12,21.42,118.17,60,,,19.2310,30,576.930,,,,,,,,,,,576.930,,,0.050,0.012,,,Direct depth-integrate measurements
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2003), doi:10.3354/meps259047, 2003",Epifluorescence Microscopy ,2000-10-05,19.00,117.50,60,,,1.0500,30,31.500,,,,,,,,,,,31.500,,,0.015,0.010,,,Direct depth-integrate measurements
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2003), doi:10.3354/meps259047, 2003",Epifluorescence Microscopy ,2000-10-06,20.33,118.52,60,,,9.9310,30,297.930,,,,,,,,,,,297.930,,,0.015,0.016,,,Direct depth-integrate measurements
"Chen, Y.L., National Sun Yat-sen University, yllee@faculty.nsysu.edu.tw","Chen et al. (2003), doi:10.3354/meps259047, 2003",Epifluorescence Microscopy ,2000-10-07,22.03,118.50,60,,,13.4900,30,404.700,,,,,,,,,,,404.700,,,0.009,0.019,,,Direct depth-integrate measurements
