SOURCE: Related article,SOURCE: Related article,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),UCYN Cells (x106 m-2),Richelia Associated Species,Richelia intracellularis (x106 m-2),Calothrix Associated Species,Calothrix intracellularis  (x106 m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
,Standard Light Microscopy,1974-02-08,20.24,-73.48,200,,,0.733 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-11,20.36,-73.55,150,,,0.374 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-12,19.82,-74.00,200,,,0.402 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-13,19.63,-74.88,75,,,0.126 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-14,19.39,-75.01,150,,,0.179 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-16,18.11,-75.82,175,,,0.824 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-17,17.72,-72.60,200,,,1.869 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-18,17.51,-68.34,175,,,1.287 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-19,16.75,-67.02,200,,,4.149 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-20,14.98,-67.01,175,,,38.062 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-21,12.91,-67.06,200,,,23.675 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-22,11.77,-68.78,75,,,0.086 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-26,14.09,-70.91,175,,,0.582 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-02-27,16.48,-73.04,200,,,13.201 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-03-01,19.73,-74.67,200,,,0.434 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-03-02,20.27,-73.65,150,,,0.263 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-03-03,20.23,-71.27,200,,,0.142 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-03-04,18.55,-67.77,200,,,0.653 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-03-05,17.98,-68.02,150,,,40.356 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-08,13.66,-62.35,200,,,60.474 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-09,13.65,-65.92,200,,,34.685 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-10,13.72,-68.01,75,,,46.843 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-10,15.23,-68.10,200,,,58.139 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-11,18.30,-67.60,200,,,8.828 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-12,20.63,-67.77,200,,,0.768 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-13,23.01,-67.70,200,,,2.966 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-14,25.78,-67.78,100,,,0.983 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-15,28.52,-67.63,200,,,1.195 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-16,31.67,-67.72,200,,,1.482 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-17,32.80,-67.80,75,,,0.787 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-18,34.93,-68.42,175,,,0.988 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-19,36.46,-68.23,100,,,4.756 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-20,37.85,-71.05,150,,,1.397 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
,Standard Light Microscopy,1974-08-21,39.43,-72.18,100,,,5.002 ,,,,,,,,,,,,"Originally reported as number of  cells, converted to number of trichomes by assuming 100 cells/trichomes. "
"Carpenter et al. (2004), doi:10.1016/j.dsr.2003.10.006",Epifluorescence Microscopy ,1994-05-24,23.87,-71.67,123,,,0.179 ,,,,,,27.05 ,36.43 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-05-26,22.07,-66.54,137,,,0.125 ,,,,,,27.40 ,36.29 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-05-27,21.04,-63.60,163,,,7.048 ,,,,,,26.89 ,36.48 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-05-28,20.05,-60.82,172,,,95.806 ,,,,,,26.72 ,36.45 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-05-29,19.12,-58.23,180,,,5.641 ,,,,,,26.62 ,35.18 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-05-30,18.23,-55.68,140,,,57.550 ,,,,,,26.46 ,35.41 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-05-31,17.31,-53.17,176,,,146.481 ,,,,,,26.27 ,35.30 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-06-01,16.47,-50.82,140,,,38.520 ,,,,,,25.68 ,36.73 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-06-04,14.88,-54.74,125,,,11.872 ,,,,,,26.66 ,35.45 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-06-05,14.51,-57.44,80,,,320.348 ,,,,,,27.43 ,29.55 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-06-06,14.16,-60.04,64,,,95.848 ,,,,,,27.21 ,34.30 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-06-07,14.00,-61.09,110,,,60.060 ,,,,,,27.34 ,34.66 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-06-10,15.24,-61.57,80,,,298.440 ,,,,,,27.81 ,35.06 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-06-11,17.06,-63.41,94,,,229.157 ,,,,,,29.00 ,34.11 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-06-12,18.14,-64.94,100,,,85.008 ,,,,,,27.72 ,35.73 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-06-14,20.91,-70.07,145,,,154.357 ,,,,,,27.89 ,36.25 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-06-16,24.06,-74.57,120,,,18.941 ,,,,,,27.98 ,36.40 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1994-06-18,24.89,-76.61,121,,,25.053 ,,,,,,28.58 ,36.17 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,1996-03-29,11.35,-56.47,100,,,68.037 ,,,,,,27.00 ,34.92 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-03-30,9.69,-53.45,100,,,3.435 ,,,,,,27.00 ,36.08 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-03-31,8.00,-51.40,100,,,2.083 ,,,,,,27.10 ,36.13 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-01,6.65,-47.56,100,,,0.381 ,,,,,,27.58 ,36.08 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-02,6.27,-44.31,100,,,1.410 ,,,,,,27.31 ,36.02 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-03,6.23,-44.33,100,,,15.477 ,,,,,,27.44 ,35.99 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-04,6.23,-38.04,100,,,148.246 ,,,,,,27.00 ,35.98 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-05,6.36,-35.68,100,,,34.335 ,,,,,,27.40 ,35.77 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-06,3.16,-34.93,100,,,0.365 ,,,,,,27.80 ,35.68 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-07,0.00,-34.14,100,,,0.748 ,,,,,,28.30 ,36.15 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-08,2.06,-32.89,100,,,4.718 ,,,,,,28.02 ,35.50 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-09,4.69,-31.26,100,,,61.904 ,,,,,,27.90 ,35.57 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-09,5.31,-30.88,100,,,14.419 ,,,,,,27.64 ,35.62 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-10,6.50,-30.03,100,,,6.247 ,,,,,,27.14 ,35.71 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-11,9.72,-27.99,100,,,4.771 ,,,,,,25.88 ,35.92 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-12,11.88,-26.50,100,,,4.016 ,,,,,,25.80 ,35.98 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-17,16.26,-29.81,100,,,2.370 ,,,,,,23.53 ,36.38 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-18,16.09,-33.19,100,,,1.134 ,,,,,,24.21 ,36.30 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-19,15.76,-37.97,100,,,7.067 ,,,,,,24.60 ,36.34 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-20,15.55,-40.61,100,,,15.098 ,,,,,,25.30 ,36.16 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-20,15.44,-41.72,100,,,10.918 ,,,,,,25.40 ,36.45 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-21,15.25,-43.49,100,,,25.635 ,,,,,,25.40 ,36.17 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-21,15.18,-44.19,100,,,14.709 ,,,,,,25.76 ,36.22 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-22,15.09,-45.09,100,,,12.037 ,,,,,,25.50 ,36.17 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-22,14.97,-46.00,100,,,13.561 ,,,,,,25.63 ,36.37 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-23,14.73,-48.10,100,,,19.897 ,,,,,,26.20 ,36.17 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-23,14.55,-48.47,100,,,8.987 ,,,,,,26.30 ,36.32 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-24,14.26,-51.88,100,,,15.530 ,,,,,,26.28 ,36.20 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-04-25,13.62,-55.69,100,,,89.866 ,,,,,,26.90 ,35.57 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone"
,Epifluorescence Microscopy ,1996-10-13,25.19,-69.53,100,,,0.996 ,,Hemiaulus,1.099 ,,,27.56 ,35.22 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-14,23.13,-66.25,100,,,0.335 ,,Hemiaulus,1.858 ,,,27.92 ,36.29 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-15,22.01,-63.31,100,,,1.359 ,,Hemiaulus,1.294 ,,,28.10 ,34.00 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-16,20.73,-60.41,100,,,4.683 ,,Hemiaulus,1.030 ,,,28.25 ,34.00 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-17,18.90,-57.64,100,,,5.468 ,,Hemiaulus,0.769 ,,,28.06 ,34.21 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-18,16.85,-54.87,100,,,4.869 ,,Hemiaulus,0.587 ,,,28.23 ,34.40 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-19,14.82,-52.19,100,,,11.513 ,,Hemiaulus,1.836 ,,,28.21 ,35.77 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-20,13.05,-49.85,100,,,9.673 ,,Hemiaulus,20.331 ,,,28.03 ,33.80 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-21,10.99,-47.16,100,,,24.006 ,,Hemiaulus,11089.984 ,,,28.64 ,35.85 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-21,10.49,-46.51,100,,,22.220 ,,Hemiaulus,3219.201 ,,,29.40 ,34.30 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-22,9.02,-44.60,100,,,4.241 ,,Hemiaulus,2883.282 ,,,29.04 ,33.64 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-23,7.18,-42.22,100,,,6.187 ,,Hemiaulus,9.047 ,,,28.80 ,34.50 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-23,7.34,-42.84,100,,,10.191 ,,Hemiaulus,15776.056 ,,,28.70 ,33.26 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-24,7.85,-45.17,100,,,4.311 ,,Hemiaulus,12670.573 ,,,29.17 ,33.77 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-24,8.00,-45.88,100,,,4.859 ,,Hemiaulus,8713.546 ,,,29.00 ,33.06 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-25,8.53,-48.26,100,,,6.173 ,,Hemiaulus,20497.637 ,,,29.10 ,32.85 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-25,8.69,-48.98,100,,,0.092 ,,Hemiaulus,13494.861 ,,,29.30 ,30.60 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-26,9.17,-51.17,100,,,0.011 ,,Hemiaulus,3.485 ,,,28.32 ,35.05 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-26,9.82,-51.61,100,,,0.217 ,,Hemiaulus,18763.590 ,,,29.27 ,32.97 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-27,11.66,-53.31,100,,,17.158 ,,Hemiaulus,6262.759 ,,,28.70 ,33.16 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-27,12.09,-53.67,100,,,12.698 ,,Hemiaulus,20.494 ,,,28.71 ,35.49 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-28,14.14,-55.64,100,,,19.853 ,,Hemiaulus,96.611 ,,,28.21 ,35.85 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-28,14.63,-56.12,100,,,2.895 ,,Hemiaulus,26039.992 ,,,28.38 ,34.02 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-10-29,16.10,-57.47,100,,,3.572 ,,Hemiaulus,8459.867 ,,,28.11 ,32.92 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-11-01,16.71,-62.54,100,,,18.865 ,,Hemiaulus,14227.628 ,,,28.80 ,33.26 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-11-02,17.95,-63.33,100,,,30.245 ,,Hemiaulus,10439.829 ,,,28.36 ,33.95 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,1996-11-04,21.94,-70.53,100,,,5.120 ,,Hemiaulus,506.074 ,,,28.16 ,35.35 ,,,,,"Direct depth-integrate measurements, Depth data missing, 100m is an estimate. But the samples are supposed to cover euphotic zone, Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-01-14,30.00,-45.00,104,,,0.190 ,,,,,,22.65 ,36.86 ,,,,,Direct depth-integrate measurements
,Epifluorescence Microscopy ,2001-01-17,23.97,-45.00,100,15.204 ,,0.357 ,,,,,,24.31 ,37.11 ,,,,,
,Epifluorescence Microscopy ,2001-01-19,15.66,-44.98,100,95.647 ,,13.104 ,,Hemiaulus,0.269 ,,,24.95 ,37.11 ,,,,12.73 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-01-21,9.89,-45.40,80,41.222 ,,5.647 ,,Hemiaulus,0.458 ,,,25.92 ,36.25 ,,,,17.23 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-01-30,10.79,-55.35,90,336.561 ,,27.708 ,,Hemiaulus,4.128 ,,,26.10 ,35.52 ,,,0.52 ,19.97 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-01-31,10.18,-53.93,100,0.020 ,,0.003 ,,Hemiaulus,0.000 ,,,26.39 ,36.25 ,,0.05 ,0.53 ,,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-02-01,9.32,-51.27,83,1.431 ,,0.196 ,,Hemiaulus,2.390 ,,,26.35 ,36.19 ,,0.05 ,3.47 ,13.81 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-02-02,9.30,-49.60,78,85.399 ,,22.802 ,,Hemiaulus,1.743 ,,,25.27 ,35.98 ,,0.06 ,0.22 ,20.32 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-02-03,9.58,-47.86,68,232.379 ,,40.666 ,,Hemiaulus,2.378 ,,,25.35 ,36.06 ,,0.06 ,0.21 ,20.59 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-02-04,7.78,-48.58,66,122.569 ,,17.711 ,,Hemiaulus,1.552 ,,,25.62 ,35.93 ,,0.08 ,0.23 ,9.82 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-02-05,7.27,-47.73,100,10.425 ,,1.428 ,,Hemiaulus,0.516 ,,,26.14 ,36.07 ,,0.08 ,1.32 ,17.42 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-02-06,7.29,-45.36,100,17.932 ,,2.457 ,,Hemiaulus,0.262 ,,,26.56 ,36.12 ,,0.06 ,1.15 ,19.30 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-02-07,7.29,-43.33,114,0.122 ,,0.017 ,,Hemiaulus,0.309 ,,,26.33 ,36.14 ,,0.07 ,0.55 ,20.92 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-02-08,8.15,-41.46,90,18.594 ,,2.547 ,,Hemiaulus,1.101 ,,,25.06 ,35.97 ,,0.05 ,0.35 ,,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
,Epifluorescence Microscopy ,2001-02-09,9.34,-41.97,78,33.170 ,,4.345 ,,Hemiaulus,2.003 ,,,25.78 ,36.15 ,,0.09 ,0.85 ,17.00 ,"Richelia reported as number of heterocysts, converted to number of intracellularis on 1:1 basis"
